mag,rho,eff_rd
22.0,39.811,5.0
22.2,39.811,1.66667
22.4,39.811,5.0
16.2,56.234,93.33333
16.4,56.234,92.5
16.6,56.234,95.83333
16.8,56.234,95.83333
17.0,56.234,92.5
17.2,56.234,95.83333
17.4,56.234,98.33333
17.6,56.234,94.16667
17.8,56.234,92.5
18.0,56.234,94.16667
18.2,56.234,94.16667
18.4,56.234,90.83333
18.6,56.234,95.0
18.8,56.234,93.33333
19.0,56.234,95.83333
19.2,56.234,90.83333
19.4,56.234,89.16667
19.6,56.234,95.0
19.8,56.234,92.5
20.0,56.234,94.16667
20.2,56.234,79.16667
20.4,56.234,82.5
20.6,56.234,75.0
20.8,56.234,65.0
21.0,56.234,50.0
21.2,56.234,29.16667
21.4,56.234,29.16667
21.6,56.234,16.66667
21.8,56.234,7.5
22.0,56.234,7.5
22.2,56.234,4.16667
22.4,56.234,3.33333
16.2,100.0,95.0
16.4,100.0,94.16667
16.6,100.0,93.33333
16.8,100.0,95.83333
17.0,100.0,95.0
17.2,100.0,97.5
17.4,100.0,93.33333
17.6,100.0,97.5
17.8,100.0,97.5
18.0,100.0,95.83333
18.2,100.0,93.33333
18.4,100.0,94.16667
18.6,100.0,95.0
18.8,100.0,96.66667
19.0,100.0,92.5
19.2,100.0,90.0
19.4,100.0,94.16667
19.6,100.0,92.5
19.8,100.0,90.0
20.0,100.0,90.0
20.2,100.0,90.83333
20.4,100.0,82.5
20.6,100.0,71.66667
20.8,100.0,62.5
21.0,100.0,50.0
21.2,100.0,28.33333
21.4,100.0,26.66667
21.6,100.0,14.16667
21.8,100.0,8.33333
22.0,100.0,4.16667
22.2,100.0,6.66667
22.4,100.0,4.16667
16.2,177.828,95.83333
16.4,177.828,95.0
16.6,177.828,95.0
16.8,177.828,91.66667
17.0,177.828,95.83333
17.2,177.828,92.5
17.4,177.828,90.0
17.6,177.828,98.33333
17.8,177.828,90.0
18.0,177.828,89.16667
18.2,177.828,91.66667
18.4,177.828,93.33333
18.6,177.828,94.16667
18.8,177.828,96.66667
19.0,177.828,91.66667
19.2,177.828,93.33333
19.4,177.828,90.83333
19.6,177.828,91.66667
19.8,177.828,90.0
20.0,177.828,88.33333
20.2,177.828,88.33333
20.4,177.828,83.33333
20.6,177.828,70.83333
20.8,177.828,46.66667
21.0,177.828,38.33333
21.2,177.828,30.0
21.4,177.828,15.83333
21.6,177.828,9.16667
21.8,177.828,8.33333
22.0,177.828,7.5
22.2,177.828,1.66667
22.4,177.828,5.83333
16.2,316.228,93.33333
16.4,316.228,94.16667
16.6,316.228,95.0
16.8,316.228,92.5
17.0,316.228,95.83333
17.2,316.228,93.33333
17.4,316.228,90.83333
17.6,316.228,95.0
17.8,316.228,97.5
18.0,316.228,93.33333
18.2,316.228,95.0
18.4,316.228,91.66667
18.6,316.228,95.0
18.8,316.228,95.83333
19.0,316.228,96.66667
19.2,316.228,94.16667
19.4,316.228,95.83333
19.6,316.228,91.66667
19.8,316.228,93.33333
20.0,316.228,94.16667
20.2,316.228,85.0
20.4,316.228,71.66667
20.6,316.228,61.66667
20.8,316.228,40.83333
21.0,316.228,33.33333
21.2,316.228,20.0
21.4,316.228,8.33333
21.6,316.228,9.16667
21.8,316.228,7.5
22.0,316.228,4.16667
22.2,316.228,5.83333
22.4,316.228,1.66667
16.2,630.957,99.16667
16.4,630.957,96.66667
16.6,630.957,97.5
16.8,630.957,94.16667
17.0,630.957,94.16667
17.2,630.957,92.5
17.4,630.957,95.83333
17.6,630.957,94.16667
17.8,630.957,93.33333
18.0,630.957,98.33333
18.2,630.957,93.33333
18.4,630.957,90.83333
18.6,630.957,93.33333
18.8,630.957,94.16667
19.0,630.957,94.16667
19.2,630.957,95.0
19.4,630.957,96.66667
19.6,630.957,93.33333
19.8,630.957,89.16667
20.0,630.957,82.5
20.2,630.957,81.66667
20.4,630.957,65.0
20.6,630.957,59.16667
20.8,630.957,31.66667
21.0,630.957,27.5
21.2,630.957,16.66667
21.4,630.957,11.66667
21.6,630.957,6.66667
21.8,630.957,1.66667
22.0,630.957,0.83333
22.2,630.957,5.0
22.4,630.957,5.83333
16.2,1412.538,95.83333
16.4,1412.538,95.83333
16.6,1412.538,95.83333
16.8,1412.538,92.5
17.0,1412.538,95.83333
17.2,1412.538,95.0
17.4,1412.538,94.16667
17.6,1412.538,95.83333
17.8,1412.538,93.33333
18.0,1412.538,92.5
18.2,1412.538,93.33333
18.4,1412.538,93.33333
18.6,1412.538,95.0
18.8,1412.538,92.5
19.0,1412.538,91.66667
19.2,1412.538,95.0
19.4,1412.538,94.16667
19.6,1412.538,94.16667
19.8,1412.538,92.5
20.0,1412.538,82.5
20.2,1412.538,75.83333
20.4,1412.538,54.16667
20.6,1412.538,38.33333
20.8,1412.538,20.83333
21.0,1412.538,20.83333
21.2,1412.538,12.5
21.4,1412.538,5.0
21.6,1412.538,9.16667
21.8,1412.538,3.33333
22.0,1412.538,3.33333
22.2,1412.538,1.66667
22.4,1412.538,0.83333
16.2,3548.134,95.0
16.4,3548.134,95.0
16.6,3548.134,92.5
16.8,3548.134,95.83333
17.0,3548.134,96.66667
17.2,3548.134,92.5
17.4,3548.134,93.33333
17.6,3548.134,91.66667
17.8,3548.134,95.0
18.0,3548.134,94.16667
18.2,3548.134,96.66667
18.4,3548.134,99.16667
18.6,3548.134,92.5
