mag,rho,eff_rd
18.0,100000.0,93.75
18.2,100000.0,98.125
18.4,100000.0,93.125
18.6,100000.0,93.75
18.8,100000.0,95.625
19.0,100000.0,94.375
19.2,100000.0,90.0
19.4,100000.0,90.625
19.6,100000.0,86.25
19.8,100000.0,65.625
20.0,100000.0,50.625
20.2,100000.0,25.0
20.4,100000.0,18.75
20.6,100000.0,15.0
20.8,100000.0,10.625
21.0,100000.0,5.625
21.2,100000.0,5.625
21.4,100000.0,5.0
21.6,100000.0,3.75
21.8,100000.0,2.5
22.0,100000.0,3.125
22.2,100000.0,3.75
22.4,100000.0,3.75
15.4,398107.171,98.75
15.6,398107.171,97.5
15.8,398107.171,98.75
16.0,398107.171,96.25
16.2,398107.171,96.25
16.4,398107.171,98.75
16.6,398107.171,96.25
16.8,398107.171,98.75
17.0,398107.171,96.25
17.2,398107.171,96.25
17.4,398107.171,96.25
17.6,398107.171,98.75
17.8,398107.171,93.75
18.0,398107.171,96.25
18.2,398107.171,100.0
18.4,398107.171,97.5
18.6,398107.171,96.25
18.8,398107.171,93.75
19.0,398107.171,90.0
19.2,398107.171,92.5
19.4,398107.171,87.5
19.6,398107.171,66.25
19.8,398107.171,53.75
20.0,398107.171,28.75
20.2,398107.171,15.0
20.4,398107.171,12.5
20.6,398107.171,10.0
20.8,398107.171,6.25
21.0,398107.171,2.5
21.2,398107.171,3.75
21.4,398107.171,5.0
21.6,398107.171,6.25
21.8,398107.171,8.75
22.0,398107.171,3.75
22.2,398107.171,6.25
22.4,398107.171,5.0
15.4,1995262.315,97.5
15.6,1995262.315,96.25
15.8,1995262.315,97.5
16.0,1995262.315,100.0
16.2,1995262.315,97.5
16.4,1995262.315,97.5
16.6,1995262.315,96.25
16.8,1995262.315,100.0
17.0,1995262.315,97.5
17.2,1995262.315,98.75
17.4,1995262.315,98.75
17.6,1995262.315,96.25
17.8,1995262.315,95.0
18.0,1995262.315,96.25
18.2,1995262.315,98.75
18.4,1995262.315,95.0
