mag,rho,eff_rd
18.8,5.6234132519034906e+17,15.0
19.0,5.6234132519034906e+17,5.0
19.2,5.6234132519034906e+17,0.0
19.4,5.6234132519034906e+17,5.0
19.6,5.6234132519034906e+17,2.5
19.8,5.6234132519034906e+17,0.0
20.0,5.6234132519034906e+17,2.5
20.2,5.6234132519034906e+17,5.0
20.4,5.6234132519034906e+17,0.0
20.6,5.6234132519034906e+17,0.0
20.8,5.6234132519034906e+17,0.0
21.0,5.6234132519034906e+17,0.0
21.2,5.6234132519034906e+17,0.0
21.4,5.6234132519034906e+17,0.0
21.6,5.6234132519034906e+17,0.0
21.8,5.6234132519034906e+17,0.0
22.0,5.6234132519034906e+17,0.0
22.2,5.6234132519034906e+17,0.0
22.4,5.6234132519034906e+17,0.0
16.8,7.94328234724279e+19,92.5
17.0,7.94328234724279e+19,95.0
17.2,7.94328234724279e+19,90.0
17.4,7.94328234724279e+19,82.5
17.6,7.94328234724279e+19,60.0
17.8,7.94328234724279e+19,32.5
18.0,7.94328234724279e+19,15.0
18.2,7.94328234724279e+19,15.0
18.4,7.94328234724279e+19,15.0
18.6,7.94328234724279e+19,17.5
18.8,7.94328234724279e+19,5.0
19.0,7.94328234724279e+19,12.5
19.2,7.94328234724279e+19,5.0
19.4,7.94328234724279e+19,2.5
19.6,7.94328234724279e+19,5.0
19.8,7.94328234724279e+19,2.5
20.0,7.94328234724279e+19,2.5
20.2,7.94328234724279e+19,0.0
20.4,7.94328234724279e+19,0.0
20.6,7.94328234724279e+19,0.0
20.8,7.94328234724279e+19,0.0
21.0,7.94328234724279e+19,0.0
21.2,7.94328234724279e+19,0.0
21.4,7.94328234724279e+19,0.0
21.6,7.94328234724279e+19,0.0
21.8,7.94328234724279e+19,0.0
22.0,7.94328234724279e+19,0.0
22.2,7.94328234724279e+19,0.0
22.4,7.94328234724279e+19,0.0
16.8,2.238721138568347e+22,85.0
17.0,2.238721138568347e+22,95.0
17.2,2.238721138568347e+22,80.0
17.4,2.238721138568347e+22,60.0
17.6,2.238721138568347e+22,30.0
17.8,2.238721138568347e+22,55.0
18.0,2.238721138568347e+22,20.0
18.2,2.238721138568347e+22,10.0
18.4,2.238721138568347e+22,10.0
18.6,2.238721138568347e+22,5.0
18.8,2.238721138568347e+22,5.0
19.0,2.238721138568347e+22,0.0
19.2,2.238721138568347e+22,0.0
19.4,2.238721138568347e+22,0.0
19.6,2.238721138568347e+22,5.0
19.8,2.238721138568347e+22,10.0
20.0,2.238721138568347e+22,0.0
20.2,2.238721138568347e+22,0.0
20.4,2.238721138568347e+22,0.0
20.6,2.238721138568347e+22,0.0
20.8,2.238721138568347e+22,0.0
21.0,2.238721138568347e+22,0.0
21.2,2.238721138568347e+22,0.0
21.4,2.238721138568347e+22,0.0
21.6,2.238721138568347e+22,0.0
21.8,2.238721138568347e+22,0.0
22.0,2.238721138568347e+22,0.0
22.2,2.238721138568347e+22,0.0
22.4,2.238721138568347e+22,0.0
16.8,1.1220184543019654e+25,85.0
17.0,1.1220184543019654e+25,80.0
17.2,1.1220184543019654e+25,70.0
17.4,1.1220184543019654e+25,50.0
17.6,1.1220184543019654e+25,35.0
17.8,1.1220184543019654e+25,25.0
18.0,1.1220184543019654e+25,20.0
18.2,1.1220184543019654e+25,5.0
18.4,1.1220184543019654e+25,0.0
18.6,1.1220184543019654e+25,0.0
18.8,1.1220184543019654e+25,5.0
19.0,1.1220184543019654e+25,0.0
19.2,1.1220184543019654e+25,0.0
19.4,1.1220184543019654e+25,5.0
19.6,1.1220184543019654e+25,0.0
19.8,1.1220184543019654e+25,0.0
20.0,1.1220184543019654e+25,0.0
20.2,1.1220184543019654e+25,0.0
20.4,1.1220184543019654e+25,0.0
20.6,1.1220184543019654e+25,0.0
20.8,1.1220184543019654e+25,0.0
21.0,1.1220184543019654e+25,0.0
21.2,1.1220184543019654e+25,0.0
21.4,1.1220184543019654e+25,0.0
21.6,1.1220184543019654e+25,0.0
21.8,1.1220184543019654e+25,0.0
