mag,rho,eff_rd
20.0,630.957,90.0
20.2,630.957,68.75
20.4,630.957,61.25
20.6,630.957,42.5
20.8,630.957,28.75
21.0,630.957,13.75
21.2,630.957,5.0
21.4,630.957,7.5
21.6,630.957,13.75
21.8,630.957,5.0
22.0,630.957,6.25
22.2,630.957,5.0
22.4,630.957,2.5
16.4,1412.538,96.25
16.6,1412.538,95.0
16.8,1412.538,90.0
17.0,1412.538,96.25
17.2,1412.538,97.5
17.4,1412.538,96.25
17.6,1412.538,96.25
17.8,1412.538,96.25
18.0,1412.538,88.75
18.2,1412.538,96.25
18.4,1412.538,96.25
18.6,1412.538,97.5
18.8,1412.538,90.0
19.0,1412.538,91.25
19.2,1412.538,85.0
19.4,1412.538,85.0
19.6,1412.538,80.0
19.8,1412.538,85.0
20.0,1412.538,76.25
20.2,1412.538,65.0
20.4,1412.538,40.0
20.6,1412.538,40.0
20.8,1412.538,27.5
21.0,1412.538,12.5
21.2,1412.538,16.25
21.4,1412.538,5.0
21.6,1412.538,7.5
21.8,1412.538,8.75
22.0,1412.538,13.75
22.2,1412.538,1.25
22.4,1412.538,1.25
16.4,3548.134,96.25
16.6,3548.134,93.75
16.8,3548.134,98.75
17.0,3548.134,92.5
17.2,3548.134,90.0
17.4,3548.134,97.5
17.6,3548.134,96.25
17.8,3548.134,92.5
18.0,3548.134,95.0
18.2,3548.134,90.0
18.4,3548.134,98.75
18.6,3548.134,95.0
18.8,3548.134,91.25
19.0,3548.134,95.0
19.2,3548.134,90.0
19.4,3548.134,91.25
19.6,3548.134,75.0
19.8,3548.134,87.5
20.0,3548.134,58.75
20.2,3548.134,63.75
20.4,3548.134,46.25
20.6,3548.134,31.25
20.8,3548.134,8.75
21.0,3548.134,8.75
21.2,3548.134,10.0
21.4,3548.134,3.75
21.6,3548.134,3.75
21.8,3548.134,5.0
22.0,3548.134,5.0
22.2,3548.134,7.5
22.4,3548.134,6.25
16.4,8912.509,97.5
16.6,8912.509,95.0
16.8,8912.509,93.75
17.0,8912.509,97.5
17.2,8912.509,97.5
17.4,8912.509,96.25
17.6,8912.509,97.5
17.8,8912.509,93.75
18.0,8912.509,96.25
18.2,8912.509,95.0
18.4,8912.509,90.0
18.6,8912.509,86.25
18.8,8912.509,88.75
19.0,8912.509,91.25
19.2,8912.509,85.0
19.4,8912.509,80.0
19.6,8912.509,80.0
19.8,8912.509,67.5
20.0,8912.509,55.0
20.2,8912.509,42.5
20.4,8912.509,26.25
20.6,8912.509,15.0
20.8,8912.509,18.75
21.0,8912.509,10.0
21.2,8912.509,2.5
21.4,8912.509,6.25
21.6,8912.509,6.25
21.8,8912.509,5.0
22.0,8912.509,2.5
22.2,8912.509,8.75
22.4,8912.509,2.5
16.4,28183.829,93.75
16.6,28183.829,97.5
16.8,28183.829,96.25
17.0,28183.829,93.75
17.2,28183.829,93.75
17.4,28183.829,96.25
17.6,28183.829,92.5
17.8,28183.829,97.5
18.0,28183.829,95.0
18.2,28183.829,92.5
18.4,28183.829,92.5
18.6,28183.829,91.25
18.8,28183.829,93.75
19.0,28183.829,95.0
19.2,28183.829,86.25
19.4,28183.829,87.5
19.6,28183.829,72.5
19.8,28183.829,55.0
20.0,28183.829,55.0
20.2,28183.829,28.75
20.4,28183.829,23.75
20.6,28183.829,5.0
20.8,28183.829,3.75
21.0,28183.829,10.0
21.2,28183.829,10.0
21.4,28183.829,1.25
21.6,28183.829,2.5
21.8,28183.829,7.5
22.0,28183.829,3.75
22.2,28183.829,5.0
22.4,28183.829,6.25
16.4,100000.0,91.25
16.6,100000.0,98.75
16.8,100000.0,95.0
17.0,100000.0,97.5
17.2,100000.0,98.75
17.4,100000.0,91.25
17.6,100000.0,96.25
17.8,100000.0,93.75
18.0,100000.0,93.75
18.2,100000.0,93.75
18.4,100000.0,91.25
18.6,100000.0,90.0
18.8,100000.0,91.25
19.0,100000.0,88.75
19.2,100000.0,85.0
19.4,100000.0,73.75
19.6,100000.0,57.5
19.8,100000.0,45.0
20.0,100000.0,30.0
20.2,100000.0,22.5
20.4,100000.0,11.25
20.6,100000.0,11.25
20.8,100000.0,5.0
21.0,100000.0,12.5
21.2,100000.0,2.5
21.4,100000.0,2.5
21.6,100000.0,3.75
21.8,100000.0,6.25
22.0,100000.0,5.0
22.2,100000.0,6.25
22.4,100000.0,3.75
16.4,398107.171,97.5
16.6,398107.171,97.5
16.8,398107.171,95.0
17.0,398107.171,97.5
17.2,398107.171,95.0
17.4,398107.171,92.5
17.6,398107.171,95.0
17.8,398107.171,97.5
18.0,398107.171,90.0
18.2,398107.171,95.0
18.4,398107.171,85.0
18.6,398107.171,100.0
18.8,398107.171,92.5
19.0,398107.171,90.0
19.2,398107.171,75.0
19.4,398107.171,80.0
19.6,398107.171,52.5
19.8,398107.171,47.5
20.0,398107.171,22.5
20.2,398107.171,15.0
20.4,398107.171,10.0
20.6,398107.171,5.0
20.8,398107.171,12.5
21.0,398107.171,10.0
21.2,398107.171,7.5
21.4,398107.171,7.5
21.6,398107.171,2.5
21.8,398107.171,0.0
22.0,398107.171,7.5
22.2,398107.171,2.5
22.4,398107.171,5.0
16.4,1995262.315,97.5
16.6,1995262.315,90.0
16.8,1995262.315,95.0
17.0,1995262.315,100.0
17.2,1995262.315,95.0
17.4,1995262.315,97.5
17.6,1995262.315,97.5
17.8,1995262.315,92.5
18.0,1995262.315,95.0
18.2,1995262.315,95.0
18.4,1995262.315,95.0
18.6,1995262.315,90.0
18.8,1995262.315,92.5
19.0,1995262.315,82.5
19.2,1995262.315,77.5
19.4,1995262.315,47.5
19.6,1995262.315,30.0
19.8,1995262.315,30.0
20.0,1995262.315,15.0
20.2,1995262.315,12.5
20.4,1995262.315,15.0
20.6,1995262.315,10.0
20.8,1995262.315,2.5
21.0,1995262.315,5.0
21.2,1995262.315,7.5
21.4,1995262.315,2.5
21.6,1995262.315,10.0
21.8,1995262.315,2.5
22.0,1995262.315,2.5
22.2,1995262.315,0.0
22.4,1995262.315,2.5
16.4,11220184.543,97.5
16.6,11220184.543,95.0
16.8,11220184.543,97.5
17.0,11220184.543,100.0
17.2,11220184.543,87.5
17.4,11220184.543,87.5
17.6,11220184.543,97.5
17.8,11220184.543,87.5
18.0,11220184.543,97.5
18.2,11220184.543,92.5
18.4,11220184.543,95.0
18.6,11220184.543,92.5
18.8,11220184.543,72.5
19.0,11220184.543,75.0
19.2,11220184.543,50.0
19.4,11220184.543,47.5
19.6,11220184.543,20.0
19.8,11220184.543,22.5
20.0,11220184.543,17.5
20.2,11220184.543,5.0
20.4,11220184.543,7.5
20.6,11220184.543,5.0
20.8,11220184.543,5.0
21.0,11220184.543,5.0
21.2,11220184.543,2.5
21.4,11220184.543,5.0
21.6,11220184.543,2.5
21.8,11220184.543,2.5
22.0,11220184.543,2.5
22.2,11220184.543,2.5
22.4,11220184.543,0.0
16.4,79432823.472,100.0
16.6,79432823.472,97.5
16.8,79432823.472,95.0
17.0,79432823.472,90.0
17.2,79432823.472,95.0
17.4,79432823.472,97.5
17.6,79432823.472,92.5
17.8,79432823.472,92.5
18.0,79432823.472,90.0
18.2,79432823.472,92.5
18.4,79432823.472,85.0
18.6,79432823.472,85.0
18.8,79432823.472,67.5
19.0,79432823.472,70.0
19.2,79432823.472,50.0
19.4,79432823.472,20.0
19.6,79432823.472,32.5
19.8,79432823.472,12.5
20.0,79432823.472,22.5
20.2,79432823.472,10.0
20.4,79432823.472,10.0
20.6,79432823.472,5.0
20.8,79432823.472,5.0
21.0,79432823.472,2.5
21.2,79432823.472,7.5
21.4,79432823.472,2.5
21.6,79432823.472,7.5
21.8,79432823.472,5.0
22.0,79432823.472,5.0
22.2,79432823.472,2.5
22.4,79432823.472,0.0
16.4,794328234.724,100.0
16.6,794328234.724,97.5
16.8,794328234.724,92.5
17.0,794328234.724,100.0
17.2,794328234.724,100.0
17.4,794328234.724,95.0
17.6,794328234.724,92.5
17.8,794328234.724,95.0
18.0,794328234.724,95.0
18.2,794328234.724,87.5
18.4,794328234.724,82.5
18.6,794328234.724,80.0
18.8,794328234.724,70.0
19.0,794328234.724,55.0
19.2,794328234.724,35.0
19.4,794328234.724,12.5
19.6,794328234.724,7.5
19.8,794328234.724,25.0
20.0,794328234.724,2.5
20.2,794328234.724,5.0
20.4,794328234.724,2.5
20.6,794328234.724,10.0
20.8,794328234.724,5.0
21.0,794328234.724,2.5
21.2,794328234.724,5.0
21.4,794328234.724,5.0
21.6,794328234.724,2.5
21.8,794328234.724,0.0
22.0,794328234.724,2.5
22.2,794328234.724,0.0
22.4,794328234.724,0.0
16.4,10000000000.0,100.0
16.6,10000000000.0,95.0
16.8,10000000000.0,95.0
17.0,10000000000.0,97.5
17.2,10000000000.0,100.0
17.4,10000000000.0,95.0
17.6,10000000000.0,92.5
17.8,10000000000.0,87.5
18.0,10000000000.0,87.5
18.2,10000000000.0,90.0
18.4,10000000000.0,70.0
18.6,10000000000.0,60.0
18.8,10000000000.0,47.5
19.0,10000000000.0,37.5
19.2,10000000000.0,25.0
19.4,10000000000.0,12.5
19.6,10000000000.0,17.5
19.8,10000000000.0,15.0
